,Unnamed: 0,t,i,j,k,v,q,code
0,0,2021,4,251,220421,0.318,        0.001,2204
1,1,2021,4,352,220410,0.028,        0.003,2204
2,2,2021,4,686,220410,1.22,        1.221,2204
3,3,2021,4,686,220421,10.727,       10.328,2204
4,4,2021,4,710,220429,0.002,        0.001,2204
5,5,2021,4,757,220410,0.013,        0.001,2204
6,6,2021,8,36,220421,1.459,        0.027,2204
7,7,2021,8,40,220410,0.141,        0.029,2204
8,8,2021,8,56,220410,0.171,        0.004,2204
9,9,2021,8,56,220421,0.94,        0.036,2204
10,10,2021,8,70,220421,0.287,        0.045,2204
11,11,2021,8,156,220421,0.636,        0.043,2204
12,12,2021,8,191,220421,0.013,        0.003,2204
13,13,2021,8,203,220421,0.015,        0.002,2204
14,14,2021,8,251,220421,0.563,        0.010,2204
15,15,2021,8,300,220410,19.163,        0.126,2204
16,16,2021,8,348,220421,0.006,        0.001,2204
17,17,2021,8,380,220410,73.519,        1.530,2204
18,18,2021,8,380,220421,1.978,        0.077,2204
19,19,2021,8,404,220421,1.425,        0.079,2204
20,20,2021,8,428,220421,0.624,        0.090,2204
21,21,2021,8,499,220429,20.654,        5.872,2204
22,22,2021,8,757,220421,23.284,        2.277,2204
23,23,2021,8,826,220421,1101.882,       14.297,2204
24,24,2021,12,124,220421,0.028,        0.006,2204
25,25,2021,12,156,220421,50.958,        8.694,2204
26,26,2021,12,251,220421,321.692,       91.570,2204
27,27,2021,12,251,220430,0.04,        0.004,2204
28,28,2021,12,702,220421,0.09,        0.004,2204
29,29,2021,12,757,220410,0.059,        0.001,2204
30,30,2021,20,156,220421,0.071,        0.005,2204
31,31,2021,20,251,220421,132.531,        0.601,2204
32,32,2021,20,410,220421,32.827,        3.756,2204
33,33,2021,20,442,220410,0.033,        0.002,2204
34,34,2021,20,724,220410,0.383,        0.810,2204
35,35,2021,20,724,220421,2.137,        5.187,2204
36,36,2021,20,757,220410,0.087,        0.002,2204
37,37,2021,20,842,220410,9.264,        1.080,2204
38,38,2021,24,40,220421,1.103,        1.440,2204
39,39,2021,24,44,220421,2.27,        0.162,2204
40,40,2021,24,56,220410,0.384,        0.800,2204
41,41,2021,24,76,220410,0.015,        0.010,2204
42,42,2021,24,76,220421,0.592,        0.769,2204
43,43,2021,24,76,220429,0.353,        0.278,2204
44,44,2021,24,124,220421,2.926,        3.000,2204
45,45,2021,24,124,220429,0.056,        0.019,2204
46,46,2021,24,156,220410,1.075,        3.611,2204
47,47,2021,24,178,220410,130.186,      176.687,2204
48,48,2021,24,178,220421,104.612,      132.075,2204
49,49,2021,24,178,220429,5.031,        3.050,2204
50,50,2021,24,180,220410,178.31,      677.297,2204
51,51,2021,24,180,220421,186.504,      276.042,2204
52,52,2021,24,180,220422,0.525,        4.703,2204
53,53,2021,24,180,220429,75.743,       51.798,2204
54,54,2021,24,192,220410,4.939,        3.545,2204
55,55,2021,24,192,220421,12.968,       15.445,2204
56,56,2021,24,192,220429,0.241,        0.120,2204
57,57,2021,24,208,220410,0.02,        0.054,2204
58,58,2021,24,231,220410,0.092,        0.719,2204
59,59,2021,24,251,220410,0.944,        0.800,2204
60,60,2021,24,251,220421,1.16,        4.167,2204
61,61,2021,24,251,220422,0.011,        0.800,2204
62,62,2021,24,251,220429,0.085,        0.060,2204
63,63,2021,24,266,220410,0.537,        0.800,2204
64,64,2021,24,276,220410,0.8,        6.293,2204
65,65,2021,24,276,220429,0.051,        0.431,2204
66,66,2021,24,288,220410,0.578,        0.800,2204
67,67,2021,24,324,220421,0.309,        0.800,2204
68,68,2021,24,352,220421,0.06,        0.031,2204
69,69,2021,24,360,220410,1.833,        0.006,2204
70,70,2021,24,360,220421,0.05,        0.066,2204
71,71,2021,24,376,220421,0.1,        0.054,2204
72,72,2021,24,380,220421,0.015,        0.053,2204
73,73,2021,24,422,220421,1.1,        0.015,2204
74,74,2021,24,458,220410,0.241,        0.010,2204
75,75,2021,24,508,220410,2.695,        0.180,2204
76,76,2021,24,508,220421,1.155,        0.997,2204
77,77,2021,24,516,220410,0.538,        3.943,2204
78,78,2021,24,528,220410,2.468,        4.798,2204
79,79,2021,24,528,220421,3.475,        2.917,2204
80,80,2021,24,579,220429,0.613,        0.370,2204
81,81,2021,24,586,220429,0.06,        0.010,2204
82,82,2021,24,604,220410,2.15,        4.850,2204
83,83,2021,24,604,220421,0.488,        0.800,2204
84,84,2021,24,620,220410,11.789,       15.137,2204
85,85,2021,24,620,220421,3.608,        0.045,2204
86,86,2021,24,620,220429,0.168,        2.029,2204
87,87,2021,24,634,220410,0.015,        0.107,2204
88,88,2021,24,643,220421,1.932,        3.168,2204
89,89,2021,24,678,220410,3.317,        4.078,2204
90,90,2021,24,678,220429,1.119,        0.055,2204
91,91,2021,24,702,220421,3.85,        0.450,2204
92,92,2021,24,710,220410,0.43,        0.004,2204
93,93,2021,24,710,220421,4.362,        4.392,2204
94,94,2021,24,716,220421,0.113,        0.112,2204
95,95,2021,24,764,220410,0.019,        0.010,2204
96,96,2021,24,826,220410,5.166,        4.357,2204
97,97,2021,24,842,220410,8.223,        3.963,2204
98,98,2021,24,842,220421,4.103,        5.601,2204
99,99,2021,24,842,220422,0.203,        0.950,2204
100,100,2021,24,842,220429,0.07,        0.018,2204
101,101,2021,24,842,220430,0.077,        0.060,2204
102,102,2021,24,862,220410,0.036,        0.026,2204
103,103,2021,28,36,220421,6.876,        1.152,2204
104,104,2021,28,40,220421,0.248,        0.004,2204
105,105,2021,28,52,220430,0.042,        0.008,2204
106,106,2021,28,124,220421,0.384,        0.105,2204
107,107,2021,28,203,220421,4.234,        1.338,2204
108,108,2021,28,246,220421,4.905,        0.045,2204
109,109,2021,28,251,220421,107.151,       10.476,2204
110,110,2021,28,276,220410,5.743,        0.752,2204
111,111,2021,28,372,220429,0.046,        0.012,2204
112,112,2021,28,480,220410,0.259,        0.057,2204
113,113,2021,28,524,220410,0.854,        0.135,2204
114,114,2021,28,554,220421,2.635,        0.225,2204
115,115,2021,28,702,220421,2.171,        0.034,2204
116,116,2021,28,752,220421,39.919,       14.000,2204
117,117,2021,28,757,220421,0.061,        0.002,2204
118,118,2021,28,804,220421,0.656,        0.045,2204
119,119,2021,28,826,220421,253.781,       49.937,2204
120,120,2021,31,100,220429,23.0,       45.604,2204
121,121,2021,31,112,220421,268.437,      137.177,2204
122,122,2021,31,156,220410,0.097,        0.022,2204
123,123,2021,31,156,220421,381.025,      169.712,2204
124,124,2021,31,203,220421,0.187,        0.011,2204
125,125,2021,31,204,220410,3.01,        3.775,2204
126,126,2021,31,204,220421,26.744,       32.938,2204
127,127,2021,31,233,220421,38.33,       19.463,2204
128,128,2021,31,344,220410,361.842,        2.400,2204
129,129,2021,31,344,220421,15.564,        1.253,2204
130,130,2021,31,348,220410,0.03,        0.007,2204
131,131,2021,31,348,220421,0.007,        0.075,2204
132,132,2021,31,392,220410,0.015,        0.002,2204
133,133,2021,31,392,220421,151.166,       28.490,2204
134,134,2021,31,392,220429,0.034,        0.004,2204
135,135,2021,31,398,220421,68.052,       45.159,2204
136,136,2021,31,417,220421,28.101,       20.050,2204
137,137,2021,31,428,220421,48.17,       33.450,2204
138,138,2021,31,499,220421,0.053,        0.014,2204
139,139,2021,31,528,220421,169.241,       17.098,2204
140,140,2021,31,616,220410,8.149,        4.233,2204
141,141,2021,31,616,220421,79.002,       32.684,2204
142,142,2021,31,643,220410,3.471,        0.920,2204
143,143,2021,31,643,220421,2172.956,     1708.583,2204
144,144,2021,31,643,220429,424.174,     1143.277,2204
145,145,2021,31,702,220421,15.422,        0.112,2204
146,146,2021,31,764,220421,0.234,        0.012,2204
147,147,2021,31,784,220421,1.75,        0.642,2204
148,148,2021,31,792,220410,0.11,        0.026,2204
149,149,2021,31,792,220421,67.493,       16.800,2204
150,150,2021,31,804,220421,104.161,       92.839,2204
151,151,2021,31,826,220421,0.082,        0.009,2204
152,152,2021,32,24,220421,70.852,       19.740,2204
153,153,2021,32,24,220429,16.494,       23.928,2204
154,154,2021,32,31,220410,0.296,        0.022,2204
155,155,2021,32,31,220421,11.423,        1.274,2204
156,156,2021,32,36,220410,9.16,        1.359,2204
157,157,2021,32,36,220421,4168.972,      922.015,2204
158,158,2021,32,36,220429,241.2,      301.950,2204
159,159,2021,32,40,220410,10.076,        1.845,2204
160,160,2021,32,40,220421,147.274,       20.411,2204
161,161,2021,32,40,220422,3.053,        0.180,2204
162,162,2021,32,44,220421,48.216,       18.682,2204
163,163,2021,32,51,220421,4.315,        0.369,2204
164,164,2021,32,52,220410,25.205,        2.957,2204
165,165,2021,32,52,220421,173.497,       39.606,2204
166,166,2021,32,52,220429,0.354,        0.035,2204
167,167,2021,32,56,220410,33.062,        4.732,2204
168,168,2021,32,56,220421,6928.165,     1703.277,2204
169,169,2021,32,56,220422,255.358,       97.607,2204
170,170,2021,32,56,220429,56.512,       97.175,2204
171,171,2021,32,56,220430,1.058,        0.037,2204
172,172,2021,32,60,220410,1.79,        0.263,2204
173,173,2021,32,60,220421,164.149,       20.506,2204
174,174,2021,32,60,220429,0.011,        0.004,2204
175,175,2021,32,60,220430,0.174,        0.008,2204
176,176,2021,32,68,220410,52.377,        9.550,2204
177,177,2021,32,68,220421,753.99,      146.970,2204
178,178,2021,32,70,220421,3.904,        0.553,2204
179,179,2021,32,72,220421,0.048,        0.011,2204
180,180,2021,32,76,220410,2441.946,      818.826,2204
181,181,2021,32,76,220421,81331.474,    27256.399,2204
182,182,2021,32,76,220422,148.299,      115.789,2204
183,183,2021,32,84,220421,17.191,       12.501,2204
184,184,2021,32,96,220421,0.178,        0.009,2204
185,185,2021,32,100,220421,101.119,       36.169,2204
186,186,2021,32,112,220410,19.657,        1.504,2204
187,187,2021,32,112,220421,495.434,      148.360,2204
188,188,2021,32,116,220421,40.937,       10.358,2204
189,189,2021,32,124,220410,38.304,        8.201,2204
190,190,2021,32,124,220421,65322.337,    14441.349,2204
191,191,2021,32,124,220422,380.712,      172.750,2204
192,192,2021,32,124,220429,6197.462,    15189.719,2204
193,193,2021,32,124,220430,26.702,       21.160,2204
194,194,2021,32,136,220421,48.614,       11.115,2204
195,195,2021,32,144,220410,7.41,        1.575,2204
196,196,2021,32,144,220421,81.432,       22.907,2204
197,197,2021,32,152,220410,1874.65,      487.347,2204
198,198,2021,32,152,220421,2482.086,      956.144,2204
199,199,2021,32,152,220429,26.224,       18.675,2204
200,200,2021,32,152,220430,4.323,        0.044,2204
201,201,2021,32,156,220410,29.93,        5.981,2204
202,202,2021,32,156,220421,23997.552,     5360.443,2204
203,203,2021,32,156,220422,3.656,        0.192,2204
204,204,2021,32,156,220429,1335.367,     4879.120,2204
205,205,2021,32,170,220410,62.374,       20.816,2204
206,206,2021,32,170,220421,10797.106,     3716.658,2204
207,207,2021,32,170,220429,54.049,       71.530,2204
208,208,2021,32,188,220410,49.219,        7.677,2204
209,209,2021,32,188,220421,4605.206,     1305.422,2204
210,210,2021,32,188,220422,0.327,        0.022,2204
